[00:01.220 --> 00:04.000]  Reliable controls, Thomas speaking.
[08:41.140 --> 08:45.080]  Oh, there it is. No, that's not the right file.
[09:00.420 --> 09:02.580]  Okay, let's try
[09:07.120 --> 09:08.880]  find a better one than that.
[09:21.020 --> 09:22.080]  Putting it on your desktop.
[09:25.160 --> 09:26.440]  Or in that folder.
[09:27.380 --> 09:28.320]  In that folder.
[09:33.340 --> 09:33.900]  Okay,
[09:34.120 --> 09:36.580]  back to toolkit. Let's give that a shot.
[09:40.290 --> 09:41.290]  Where was that folder?
[09:41.930 --> 09:42.990]  Right there. Perfect.
[09:44.690 --> 09:46.290]  Let's try that.
[09:50.390 --> 09:52.670]  And they should downgrade it too.
[09:53.050 --> 09:55.450]  If it is at 7.91.
[10:07.040 --> 10:07.640]  Thinking.
[10:35.700 --> 10:37.580]  What do you think?
[10:39.580 --> 10:41.040]  Something is just being blocked.
[10:43.160 --> 10:44.020]  Could be.
[10:44.960 --> 10:48.660]  It is a V7, so it could be trying to push it with FTP.
[10:50.260 --> 10:51.140]  Let's find out.
[10:55.660 --> 10:57.440]  This isn't the same one, is it?
[10:58.340 --> 10:59.580]  It is, yep.
[10:59.820 --> 11:03.520]  And it's this guy right here? Yep.
[11:08.320 --> 11:10.400]  It still has all its programming and stuff.
[11:12.720 --> 11:16.160]  Oh, it doesn't tell us if it's FTP.
[11:16.480 --> 11:18.420]  Oh, because it is. Oh, yeah.
[11:21.780 --> 11:24.200]  I haven't saved.
[11:26.040 --> 11:28.680]  I have a secret firmware I'm not allowed to send
[11:28.680 --> 11:31.740]  anybody, and that's probably what the issue is.
[11:34.540 --> 11:36.720]  So what it is, is in the older
[11:36.720 --> 11:40.580]  versions we did FTP, and then later on we changed
[11:40.580 --> 11:44.640]  to BFS, so back net file
[11:44.640 --> 11:48.940]  service. And this is an older version,
[11:49.020 --> 11:52.660]  so it's probably still an FTP. But you'll notice that
[11:52.660 --> 11:56.780]  I'm not actually getting into the resources stuff, so it's probably because the
[11:56.780 --> 12:00.880]  FTP is probably blocked. So there is a version of
[12:00.880 --> 12:04.980]  it, and I need to find it, because if I was smart, I didn't put it
[12:04.980 --> 12:08.680]  in my downloads folder and not deleted it 500 times.
[12:09.500 --> 12:13.020]  Special firmware. Hello, what are you?
[12:21.040 --> 12:21.520]  I'm gonna
[12:21.520 --> 12:23.300]  have to delete that one after.
[12:26.720 --> 12:29.580]  But for now, let's see if we can get
[12:29.580 --> 12:36.020]  this to work. Because yeah, you don't want this.
[12:36.880 --> 12:40.160]  I don't want anything
[12:40.160 --> 12:42.720]  I don't know how to use, that's for sure.
[12:58.240 --> 12:59.980]  Look at the other version, it says it's
[12:59.980 --> 13:07.930]  170 for what the controller has on it.
[13:10.530 --> 13:11.010]  0778?
[13:13.410 --> 13:15.290]  Yeah, 178 for the
[13:15.290 --> 13:17.310]  firmware on the top.
[13:21.180 --> 13:25.260]  What started as 768,
[13:25.340 --> 13:27.060]  and I tried to go to 791.
[13:29.020 --> 13:30.660]  And then it was set, it was 791.
[13:34.660 --> 13:36.760]  Select the correct one.
[13:43.220 --> 13:45.620]  You want the ProWeb 778, or
[13:45.620 --> 13:48.440]  which one do you want? Nope, I want straight to the top one.
[13:50.200 --> 13:52.700]  Oh, that's on my desktop, yeah.
[13:52.900 --> 13:54.300]  Nope, that's an old one.
[13:55.880 --> 13:57.940]  I think it was one below where you were.
[14:00.760 --> 14:02.120]  791, there you go.
[14:12.730 --> 14:15.870]  It might not work, I might have to change the setting in Studio.
[14:18.790 --> 14:19.670]  Failed, okay.
[14:20.850 --> 14:23.670]  I'm going to refresh this.
[14:25.670 --> 14:26.730]  Close all that.
[14:27.830 --> 14:30.810]  Because it's in a really weird state right now.
[14:41.630 --> 14:43.830]  It still doesn't give me the option.
[14:49.010 --> 14:50.650]  Okay, let's disconnect.
[14:51.130 --> 14:53.570]  We'll reconnect. Which one is it?
[14:53.570 --> 14:55.750]  PG Dental.
[14:57.250 --> 15:01.010]  You may have to search it. I've got quite a few on here.
[15:04.540 --> 15:05.540]  Space D.
[15:14.500 --> 15:18.920]  Long view? I'll let you do it.
[15:25.900 --> 15:27.680]  Went to long view, changed.
[15:33.640 --> 15:34.340]  Gotta be honest,
[15:34.380 --> 15:38.180]  that's been a spell since I've done this.
[15:43.890 --> 15:46.590]  Yeah, I can imagine.
[15:48.410 --> 15:50.790]  And those Prince George guys in their old
[15:50.790 --> 15:53.870]  versions. Oh my god.
[15:56.610 --> 15:58.710]  We've got some customers that are
[15:58.710 --> 16:02.310]  ancient. There's still the odd Easter link out there.
[16:02.590 --> 16:05.170]  Oh, you're not the other ones, dude.
[16:08.590 --> 16:10.910]  Oh, even like
[16:10.910 --> 16:14.750]  across Canada and the states and stuff. It's the problem when you have reliable
[16:14.750 --> 16:19.110]  hardware that works. And they get so angry. They're like, oh yeah,
[16:19.330 --> 16:22.890]  the tech updated the firmware and the thing
[16:22.890 --> 16:26.210]  wouldn't come back on. I'm like, well, it is 20 years old.
[16:27.570 --> 16:29.110]  Like, I don't know what to say.
[16:30.650 --> 16:34.750]  I've got a few customers that just don't believe in fixing it if it's not broke.
[16:35.810 --> 16:39.210]  But any time that something does crash, it's still hard to work on it.
[16:39.210 --> 16:41.490]  Okay, let's try the other one then.
[16:52.120 --> 16:56.280]  I don't know if I have to do something special to change it to BFS.
[16:57.860 --> 17:00.380]  I thought that the firmware just did it. We'll find
[17:01.140 --> 17:06.740]  out. Yeah, it's been a while since I've come across
[17:06.740 --> 17:10.720]  that option to change it. I forget. I think it was
[17:10.720 --> 17:14.840]  under properties just like you are in the resource manager somewhere. Yeah, but that might be only in
[17:14.840 --> 17:15.460]  the VA.
[17:17.760 --> 17:18.640]  Maybe, eh?
[17:21.760 --> 17:23.860]  Well, it looks like it's doing better now.
[17:24.320 --> 17:27.420]  It was looking for space. We didn't see that with the other one.
[18:00.880 --> 18:01.760]  No, it just failed.
[18:08.370 --> 18:11.270]  I wonder if there's someone to locate you can change it.
[18:43.190 --> 18:56.740]  One sec here. I broke it.
[18:59.220 --> 19:00.900]  I pull Liam in the
[19:00.900 --> 19:03.740]  call and all I get back is I broke it.
[19:04.280 --> 19:08.740]  I'm just in time. Okay, so it was version
[19:10.380 --> 19:11.780]  7.3.8.
[19:12.280 --> 19:16.160]  Oh yeah, I know the problem here.
[19:16.460 --> 19:19.780]  This is actually really straightforward. It's an old bug.
[19:20.480 --> 19:23.600]  It's this guy, except it needs to be the pro web version of whatever that is.
[19:23.600 --> 19:24.200]  I did.
[19:26.380 --> 19:30.160]  That one right there? Yeah, and I just tried to do it. It just failed.
[19:31.320 --> 19:31.900]  Okay.
[19:33.440 --> 19:38.160]  I don't believe you, boys. That's not great, boys.
[19:39.860 --> 19:43.040]  But I did the no software one before
[19:43.040 --> 19:45.600]  because that's the one that... That shouldn't affect it.
[19:48.000 --> 19:51.280]  But I'm wondering if it's FTP and that's why it's failing
[19:51.280 --> 19:55.420]  because we're now sending it not FTP. But I mean the other one sent, so that should
[19:55.420 --> 19:59.180]  be fine. Sorry, the
[19:59.180 --> 20:02.360]  no software version sent? That one worked? Yep.
[20:04.140 --> 20:07.400]  Oh. Okay, then yeah, you're probably right. Probably FTP
[20:07.400 --> 20:11.620]  being blocked. Are you connected just like cable to cable
[20:11.620 --> 20:14.940]  type thing or is this somewhere across the network?
[20:16.020 --> 20:17.760]  Oh yeah, there. Right there.
[20:19.740 --> 20:21.340]  It's across town.
[20:22.060 --> 20:25.260]  Yeah, I see this connected on blah, blah, blah. Yep.
[20:26.440 --> 20:29.920]  Okay. But we did earlier ones and they worked too.
[20:31.640 --> 20:32.640]  Like firmware?
[20:33.680 --> 20:38.000]  FTP? So what did you get it up to?
[20:39.060 --> 20:39.860]  It was 7.
[20:42.640 --> 20:46.100]  It failed for $7.91 but
[20:46.100 --> 20:50.100]  it's status said that it worked $7.91 so something took.
[20:50.880 --> 20:54.120]  That sounds about right. So the reason why I'm saying that is
[20:54.120 --> 20:56.960]  because there was an issue somewhere around
[20:56.960 --> 21:02.040]  $7.89 or so. I don't remember. There was like
[21:02.040 --> 21:06.120]  the slightest change to the size of our firmware package and it seemed to have like just
[21:06.120 --> 21:10.340]  broken some sends over the internet and I don't know why. And that's
[21:10.340 --> 21:13.920]  probably what we're running into here. So I'm going to try this
[21:13.920 --> 21:18.040]  version right here. Oh, actually, I think you tried that
[21:18.040 --> 21:25.490]  one. Oh, we'll see. Watch it will work for
[21:25.490 --> 21:25.830]  Liam.
[21:31.630 --> 21:33.730]  I'm not going to say anything because whatever
[21:33.730 --> 21:37.590]  I say, they'll just do the opposite. Now I am noticing that with all the
[21:37.590 --> 21:42.010]  firmware versions here. So I'm just going through the list because I've got a whole bunch of them.
[21:42.290 --> 21:45.330]  It goes 2.4, 2.5,
[21:45.330 --> 21:49.410]  2.6. It jumps up to 2.9
[21:49.410 --> 21:52.210]  with 7.68
[21:53.250 --> 21:57.570]  and then once we get to 7.78
[21:57.570 --> 22:01.270]  it jumps up to 4.8
[22:01.270 --> 22:06.410]  instead of 3, 3 megabytes. So it jumps up by about 50 percent
[22:06.410 --> 22:08.930]  in terms of overall size. So
[22:08.930 --> 22:12.790]  if it's kind of part way through the send and then it fails,
[22:13.490 --> 22:16.730]  that's one thing. But if it just fails in the beginning. It does that.
[22:16.990 --> 22:20.870]  Exactly that. Nothing sent and then
[22:22.350 --> 22:22.970]  yeah.
[22:25.290 --> 22:28.510]  Now it says it's 7.89 but obviously...
[22:28.510 --> 22:32.030]  Is that resource port correct? Okay, I've got an idea.
[22:32.630 --> 22:35.270]  Is it possible that this was 80.21 before?
[22:36.450 --> 22:40.910]  Well, that's FTP. Right. And we were able to
[22:40.910 --> 22:46.770]  send some files. Right.
[22:48.930 --> 22:53.050]  Do you think it's possible that was 80.21
[22:53.050 --> 22:54.270]  before?
[22:57.910 --> 23:00.410]  Do you know if it was that
[23:00.410 --> 23:04.290]  before? No. Of course not.
[23:05.490 --> 23:08.130]  No. No one's been on this
[23:08.130 --> 23:12.310]  changing firmware about us. And we haven't done it since it was 7.68.
[23:13.110 --> 23:15.110]  Well, Liam, load the resource manager.
[23:18.170 --> 23:20.250]  Resource manager takes the other ports.
[23:22.190 --> 23:22.750]  Oh.
[23:23.590 --> 23:28.130]  I thought when you send it... I don't need to do that.
[23:28.490 --> 23:31.950]  Silly thing. PowerShell. Oh, I'm already
[23:31.950 --> 23:35.790]  in PowerShell. TNC port 21
[23:37.550 --> 23:41.170]  and 5069.246.86.
[23:44.610 --> 23:46.570]  Is it just the port that's being blocked, you think?
[23:47.230 --> 23:51.790]  Well, I'm just checking. Because if it was 80.21 before...
[23:53.070 --> 23:55.490]  Oh, there we go. Test
[23:55.490 --> 23:59.610]  succeeded. I can also check 80.21
[23:59.610 --> 24:06.740]  but it's probably going to fail. That's a dentist office. I'm not
[24:06.740 --> 24:08.860]  holding my breath that it will.
[24:25.450 --> 24:25.630]  Yeah.
[24:28.470 --> 24:31.590]  Yeah, that's what I'd expect. Okay, so 21 seems right.
[24:32.730 --> 24:35.890]  So the next question is, how do we go about solving this
[24:37.250 --> 24:40.170]  conundrum? There's only a couple possibilities. One of them
[24:40.170 --> 24:43.610]  is that the control is in a funny state. In which case, why don't I just warm start it?
[24:43.610 --> 24:46.610]  Let's try that a bunch of times, too.
[24:46.810 --> 24:51.730]  Yeah, and it didn't help. But now we have different firmware packages, so
[24:51.730 --> 24:55.640]  maybe. And Liam. Yeah, I could try
[24:56.130 --> 24:58.350]  sending it from my end.
[24:59.610 --> 25:03.820]  Yeah. Oh, it says I've got two versions of Toolkit Open. Ah, there it is.
[25:05.670 --> 25:07.590]  Although I think they white listed
[25:07.590 --> 25:11.650]  our IP. Well, we'll find out how good their
[25:11.650 --> 25:15.430]  IT security is in about two seconds here.
[25:17.030 --> 25:19.030]  Five if they have a white list.
[25:21.110 --> 25:22.730]  Five if they have a white list?
[25:24.090 --> 25:27.850]  Oh, man. Yeah, it fails right away, so
[25:27.850 --> 25:29.330]  they probably got it white listed.
[25:32.170 --> 25:35.690]  Do you happen to have Toolkit 2? We could try
[25:35.690 --> 25:39.390]  from there. Oh, my God. It's been a while.
[25:39.390 --> 25:43.390]  I don't check my desktop. I may have it.
[25:44.130 --> 25:46.270]  I was hanging on to it for a while.
[25:47.130 --> 25:51.130]  I haven't used it for two or three years now.
[25:53.340 --> 25:56.780]  Let me know if I can install it without getting
[25:56.780 --> 26:00.780]  my IT involved. Oh, it's the first time I've seen an error. It usually comes up.
[26:04.520 --> 26:07.080]  I don't think it ever got the software package part. No, it didn't.
[26:07.080 --> 26:10.180]  And it didn't get the firmware either, but it says it sure got the firmware.
[26:12.100 --> 26:14.240]  Yeah, I've never seen this before. That's why
[26:14.240 --> 26:14.620]  I phoned.
[26:19.820 --> 26:22.360]  So, I can
[26:24.400 --> 26:26.500]  certainly get you a version
[26:26.500 --> 26:30.280]  of the firmware that doesn't have the software portion for the
[26:30.280 --> 26:34.100]  latest version and see if we can get from there. But I
[26:34.100 --> 26:38.260]  don't know if that's going to do anything different. I feel like we're just going to get stuck in the
[26:38.260 --> 26:39.220]  same place.
[26:43.500 --> 26:46.180]  We're stuck. I can go to site too.
[26:46.520 --> 26:50.200]  No question. For the controller,
[26:50.660 --> 26:52.480]  we're wanting to be version
[26:53.760 --> 26:58.220]  7 correctives, isn't it? I want to update the version 8
[26:58.220 --> 27:02.360]  typing. No, I've got no plans to go to
[27:02.360 --> 27:06.280]  version 8. Like, they got old mock stats there. The reason I'm asking
[27:06.280 --> 27:10.450]  is because I absolutely could send it all the way up to version 8
[27:11.220 --> 27:14.340]  from here and then you wouldn't have an issue with FTP
[27:14.340 --> 27:15.080]  anymore.
[27:19.100 --> 27:22.440]  Communication with mock stats? Probably.
[27:24.140 --> 27:26.600]  Yeah, that would be problematic.
[27:27.880 --> 27:30.420]  I'm not saying that I'd like that idea. It's just
[27:30.420 --> 27:34.380]  if you were looking to do that anyways, then you're going to make
[27:34.380 --> 27:38.600]  some changes to your system groups or whatever it is to make the links
[27:38.600 --> 27:42.120]  work and programming work, whatever it is, whatever change needs to be done,
[27:42.660 --> 27:46.580]  then great. But if you weren't expecting to, then you
[27:46.580 --> 27:48.000]  probably don't want it.
[27:51.560 --> 27:52.600]  Let's see...
[27:52.600 --> 28:01.360]  I haven't heard of that software package yet.
[28:01.740 --> 28:01.980]  There it is.
[28:03.300 --> 28:05.100]  VMRC, whatever it's called.
[28:06.080 --> 28:10.080]  Alright. Only a select few get it.
[28:26.850 --> 28:29.330]  I'm going to try it on my controller before I
[28:30.090 --> 28:33.510]  do it to yours because I feel like it's going to be horrible.
[28:37.510 --> 28:39.110]  I know, right?
[28:40.350 --> 28:43.430]  It's why I test these things on my controller first.
[28:43.930 --> 28:45.110]  The noble sacrifice.
[28:45.610 --> 28:49.650]  If you ever see me pushing a weird thing, just know that I already
[28:49.650 --> 28:52.710]  tried it and it didn't blow up, so it's probably fine.
[28:53.990 --> 28:55.410]  Yeah, it worked once before.
[28:59.670 --> 29:01.810]  I'm going to do that right now.
[29:01.810 --> 29:03.410]  I'm going to connect to reliable.
[29:14.800 --> 29:18.700]  Does sending the latest version 8 firmware also send it
[29:18.700 --> 29:20.420]  the latest version 7 firmware?
[29:21.500 --> 29:21.960]  No.
[29:25.960 --> 29:30.060]  It can send the latest version 8 firmware from the version 7, but not the other way around.
[29:30.880 --> 29:35.340]  The RCP devices do understand the
[29:36.220 --> 29:36.600]  word.
[29:39.630 --> 29:41.970]  I can't think of the word.
[29:42.970 --> 29:47.130]  RCP does understand the backup traffic, but the BACnet stuff does not understand RCP
[29:47.130 --> 29:47.670]  traffic.
[29:52.030 --> 29:55.210]  Alright, we're going to try this again here.
[29:57.290 --> 29:58.690]  There it is.
[29:59.830 --> 30:01.250]  That looked like that worked.
[30:04.410 --> 30:06.950]  And send. Even better, this is a downgrade from
[30:06.950 --> 30:10.950]  the version I was running, so if it goes badly, it will go extra bad.
[30:14.300 --> 30:14.880]  Yay.
[30:19.500 --> 30:21.360]  Sending packet 1.
[30:24.960 --> 30:25.880]  Getting shivers.
[30:28.520 --> 30:29.820]  This is Spencer.
[30:39.620 --> 30:42.260]  If anybody can screw it up,
[30:43.420 --> 30:43.800]  it's Liam.
[30:43.800 --> 30:46.480]  Me? I thought you were going to say it's Spencer.
[30:47.460 --> 30:49.000]  No, Spencer is a good boy.
[30:50.660 --> 30:50.880]  No.
[30:53.180 --> 30:58.940]  I was like, oh, these guys are in town. I'll just upgrade their firmware as a value added,
[30:59.060 --> 31:00.240]  and then crash.
[31:05.620 --> 31:08.980]  I'm getting more and more leery about sending firmware these days.
[31:19.860 --> 31:20.800]  I might have found something
[31:20.800 --> 31:24.200]  unrelated to this test, something else.
[31:40.070 --> 31:42.170]  I'm starting to wonder if
[31:43.010 --> 31:46.570]  broke backwards like downgrading in
[31:46.570 --> 31:50.290]  7.9. Not in that version, but
[31:50.290 --> 31:52.490]  the version I'm testing. I wonder if that's the case.
[31:56.260 --> 31:59.760]  I have a pre-release version on my controller of the next release.
[32:02.220 --> 32:04.520]  Seems to be unhappy with the idea
[32:04.520 --> 32:05.920]  of doing a downgrade.
[32:07.500 --> 32:08.440]  That's new.
[32:15.100 --> 32:16.940]  This is very strange.
[32:27.770 --> 32:30.010]  I've got an oscilloscope on my MSTP net.
[32:31.430 --> 32:32.930]  I'm thinking of live streaming.
[32:38.230 --> 32:40.650]  Dealers can sit there and watch you live stream.
[32:41.350 --> 32:44.070]  Be like, oh yeah, I've tested that. It just goes blank.
[32:44.910 --> 32:45.870]  Solid live.
[32:46.210 --> 32:48.750]  I did something.
[32:55.160 --> 32:57.660]  Alright, trying again.
[33:10.220 --> 33:11.880]  I don't know why toolkit is so slow
[33:11.880 --> 33:12.740]  in this firmware.
[33:16.240 --> 33:20.520]  Oh, yours. Don't know.
[33:22.100 --> 33:24.080]  That's like absurdly slow.
[33:24.080 --> 33:26.600]  Normally I just send it and it's like done.
[33:31.580 --> 33:33.060]  Oh, it's sending.
[33:34.540 --> 33:38.900]  I got 7 packets. 13, 14. Yes!
[33:39.340 --> 33:40.200]  There it goes.
[33:43.200 --> 33:47.000]  In my case I did actually have to power cycle mine for it to start taking it.
[33:47.640 --> 33:49.860]  Hopefully that's not required for yours.
[33:51.560 --> 33:53.860]  Once I finish sending this...
[33:57.020 --> 33:57.300]  Yeah.
[33:57.960 --> 34:00.520]  It's usually on site until about 3 PM.
[34:02.340 --> 34:04.480]  That's all it needs. Great.
[34:05.800 --> 34:09.400]  Once I finish sending this, I will try the other package
[34:09.400 --> 34:11.680]  and see if that works.
[34:14.120 --> 34:18.100]  The other package being 7.91
[34:18.100 --> 34:20.380]  without the software portion.
[34:22.540 --> 34:25.820]  Yeah, this is strangely sending a lot slower than Enoma does.
[34:26.360 --> 34:30.320]  I must have something horrible on my network, which wouldn't surprise me.
[34:30.960 --> 34:32.600]  Probably slamming it with traffic.
[34:33.680 --> 34:36.800]  Sometimes I'll just set up tests and I'll forget about them.
[34:39.740 --> 34:41.860]  That doesn't sound like you.
[34:42.900 --> 34:45.780]  I'll do things like I'll absolutely
[34:45.780 --> 34:49.440]  destroy my network. I will do horrible things to it.
[34:50.100 --> 34:53.300]  And forget about it. And later on I go to do something like,
[34:53.360 --> 34:56.920]  that's weird, I can't find my... Oh, right, I unplugged it.
[34:57.040 --> 35:00.480]  Then I plug it back in, waiting for it to discover.
[35:01.700 --> 35:04.720]  That's weird, I still can't find it. Oh, right, I changed the port.
[35:05.740 --> 35:09.300]  Now on its own network. I'll put that back on. Then I get all these alarms
[35:09.300 --> 35:12.020]  with duplicate networks. Oh, right, I changed its other...
[35:12.020 --> 35:17.960]  It's just like that. It gets to the point where I sometimes
[35:17.960 --> 35:19.480]  change everything back to default.
[35:23.260 --> 35:29.680]  Okay, everything is back to normal. I'm going to send it...
[35:29.680 --> 35:31.060]  Where'd it go?
[35:33.120 --> 35:34.840]  Also, I hear my emails going.
[35:35.380 --> 35:38.840]  Oh, it's unrelated. Okay, good. I thought that might have been the phone alert.
[35:42.160 --> 35:42.760]  Okay.
[35:46.310 --> 35:49.430]  There it is.
[35:50.130 --> 35:50.570]  Send.
[35:53.490 --> 35:55.570]  Sending packet 1.
[36:21.110 --> 36:23.410]  Do I want to know what you're laughing about?
[36:25.670 --> 36:28.550]  Am I laughing? You did, yeah.
[36:30.450 --> 36:32.910]  I mean, I can. Right now it's just
[36:32.910 --> 36:34.550]  sending packet 1.
[36:36.890 --> 36:38.270]  Give me a second.
[36:41.450 --> 36:44.670]  I might break my controller at this rate. We'll see.
[36:46.770 --> 36:48.910]  This is why I test things on my controller, because it's
[36:48.910 --> 36:52.910]  right next to me. You can do horrible things to it.
[36:53.010 --> 36:55.630]  You can just be like, ha, sucks to be you.
[37:01.800 --> 37:03.880]  Alright, try this again. Sending packets
[37:05.540 --> 37:06.060]  1.
[37:08.920 --> 37:10.780]  Yeah, I'm not getting anywhere with that.
[37:12.040 --> 37:13.680]  Good to try toolkit 2.
[37:16.180 --> 37:19.200]  If that doesn't work, then...
[37:19.880 --> 37:23.900]  I mean, you can still try it. If you have toolkit
[37:24.660 --> 37:26.860]  2, go ahead and pull that up.
[37:27.640 --> 37:30.300]  Doesn't look like I have it installed.
[37:30.300 --> 37:33.120]  No, I see studio 2.
[37:35.620 --> 37:38.580]  You always got to come prepared.
[37:40.980 --> 37:42.560]  I don't know if I still have that.
[37:43.960 --> 37:46.420]  It's probably stuffed in a folder somewhere.
[37:49.590 --> 37:52.090]  I'm going to give up on studio and
[37:52.090 --> 38:02.660]  toolkit 2. Alright.
[38:05.180 --> 38:05.820]  Downloads.
[38:05.820 --> 38:10.020]  Firmware. I did not like that firmware file. Let's see.
[38:10.480 --> 38:13.080]  Oh, that's because I copied the wrong one.
[38:18.810 --> 38:24.010]  Okay, toolkit
[38:24.010 --> 38:28.190]  2 actually is sending the horrible version that
[38:28.190 --> 38:29.030]  I made.
[38:31.710 --> 38:35.930]  If we're going to do toolkit 2, we might as well try the
[38:35.930 --> 38:36.910]  original one.
[38:36.910 --> 38:38.690]  Yeah, the legitimate one. Yeah, exactly.
[38:40.410 --> 38:41.590]  I'd suggest that.
[38:43.630 --> 38:48.630]  Should I just stick a zipped version of toolkit 2 onto his computer?
[38:48.830 --> 38:49.790]  Because that's what I'm thinking.
[38:52.130 --> 38:55.610]  I don't know if it will work, but I'm willing to try.
